iter	Passed	Remaining
222	827	2884
223	831	2879
224	834	2874
225	837	2868
226	840	2862
227	843	2856
228	846	2850
229	849	2844
230	853	2840
231	856	2834
232	859	2828
233	862	2822
234	865	2817
235	869	2814
236	872	2809
237	876	2805
238	879	2799
239	882	2793
240	885	2788
241	889	2787
242	893	2781
243	896	2776
244	899	2771
245	902	2766
246	905	2761
247	908	2756
248	912	2751
249	915	2746
250	919	2743
251	922	2738
252	925	2733
253	928	2727
254	932	2723
255	935	2718
256	939	2715
257	942	2711
258	945	2705
259	948	2700
260	952	2695
261	955	2690
262	958	2685
263	961	2680
264	964	2675
265	967	2670
266	971	2666
267	974	2662
268	977	2656
269	980	2652
270	984	2647
271	987	2643
272	990	2638
273	994	2634
274	997	2630
275	1001	2625
276	1004	2621
277	1007	2616
278	1010	2611
279	1013	2605
280	1016	2601
281	1020	2597
282	1023	2592
283	1026	2587
284	1029	2582
285	1033	2579
286	1036	2574
287	1039	2569
288	1042	2565
289	1046	2562
290	1049	2557
291	1052	2552
292	1055	2547
293	1059	2545
294	1063	2541
295	1066	2537
296	1070	2533
297	1073	2528
298	1076	2523
299	1079	2519
300	1082	2514
301	1086	2511
302	1089	2506
303	1092	2502
304	1096	2497
305	1099	2493
306	1102	2489
307	1106	2486
308	1109	2481
309	1112	2477
310	1116	2472
311	1119	2468
312	1122	2463
313	1125	2459
314	1129	2455
315	1132	2450
316	1135	2446
317	1138	2441
318	1142	2438
319	1145	2433
320	1148	2429
321	1151	2424
322	1154	2420
323	1157	2415
324	1160	2410
325	1163	2406
326	1167	2402
327	1170	2398
328	1174	2395
329	1177	2391
330	1181	2388
331	1184	2383
332	1187	2378
333	1190	2374
334	1194	2370
335	1197	2366
336	1200	2361
337	1203	2357
338	1206	2353
339	1209	2348
340	1213	2344
341	1216	2340
342	1219	2336
343	1222	2332
344	1226	2327
345	1229	2323
346	1232	2319
347	1236	2316
348	1239	2311
349	1242	2307
350	1245	2303
351	1249	2299
352	1252	2295
353	1255	2290
354	1258	2286
355	1261	2282
356	1264	2277
357	1267	2273
358	1271	2269
359	1275	2268
360	1278	2263
361	1281	2259
362	1285	2254
363	1288	2250
364	1291	2246
365	1294	2242
366	1298	2239
367	1301	2235
368	1304	2231
369	1308	2228
370	1311	2224
371	1314	2219
372	1318	2215
373	1321	2211
374	1324	2207
375	1327	2203
376	1330	2199
377	1333	2194
378	1336	2190
379	1340	2186
380	1343	2182
381	1346	2178
382	1349	2174
383	1353	2170
384	1356	2167
385	1359	2163
386	1364	2161
387	1370	2161
388	1378	2164
389	1382	2162
390	1386	2159
391	1389	2155
392	1392	2150
393	1395	2146
394	1398	2142
395	1401	2137
396	1404	2133
397	1407	2129
398	1410	2124
399	1413	2120
400	1418	2118
401	1421	2114
402	1425	2111
403	1428	2106
404	1431	2102
405	1434	2098
406	1437	2094
407	1440	2090
408	1443	2086
409	1447	2082
410	1450	2078
411	1453	2074
412	1456	2069
413	1459	2065
414	1462	2061
415	1465	2057
416	1468	2053
417	1471	2049
418	1474	2045
419	1478	2041
420	1481	2037
421	1484	2033
422	1487	2029
423	1491	2025
424	1494	2021
425	1497	2017
426	1500	2013
427	1503	2010
428	1506	2005
429	1509	2001
430	1512	1997
431	1515	1993
432	1519	1989
433	1522	1985
434	1525	1980
435	1528	1976
436	1531	1972
437	1534	1968
438	1537	1964
439	1540	1960
440	1543	1956
441	1546	1952
442	1550	1949
443	1554	1946
444	1557	1942
445	1560	1938
446	1563	1934
447	1566	1930
448	1569	1926
449	1572	1922
450	1575	1918
451	1578	1914
452	1582	1910
453	1585	1906
454	1588	1902
455	1591	1898
456	1594	1894
457	1597	1890
458	1600	1886
459	1603	1882
460	1606	1878
461	1609	1874
462	1612	1870
463	1615	1865
464	1618	1861
465	1621	1858
466	1624	1854
467	1627	1850
468	1630	1846
469	1633	1842
470	1637	1838
471	1640	1834
472	1643	1830
473	1646	1827
474	1649	1823
475	1654	1821
476	1659	1820
477	1663	1816
478	1667	1813
479	1670	1809
480	1673	1805
481	1676	1801
482	1679	1798
483	1682	1794
484	1686	1790
485	1689	1786
486	1692	1782
487	1695	1778
488	1698	1774
489	1701	1771
490	1704	1767
491	1708	1763
492	1710	1759
493	1713	1755
494	1716	1751
495	1720	1747
496	1723	1744
497	1726	1740
498	1729	1736
499	1732	1732
500	1735	1728
501	1738	1725
502	1741	1721
503	1745	1717
504	1749	1715
505	1753	1711
506	1756	1707
507	1759	1703
508	1762	1700
509	1765	1696
510	1769	1692
511	1772	1689
512	1775	1685
513	1779	1682
514	1782	1678
515	1785	1674
516	1788	1670
517	1791	1667
518	1794	1663
519	1797	1659
520	1800	1655
521	1803	1651
522	1807	1648
523	1810	1644
524	1813	1640
525	1816	1636
526	1819	1633
527	1822	1629
528	1826	1625
529	1829	1622
530	1832	1618
531	1835	1614
532	1838	1610
533	1841	1606
534	1844	1602
535	1847	1599
536	1850	1595
537	1853	1591
538	1855	1587
539	1858	1583
540	1861	1579
541	1864	1575
542	1868	1572
543	1871	1568
544	1874	1564
545	1877	1561
546	1880	1557
547	1883	1553
548	1886	1550
549	1889	1546
550	1892	1542
551	1895	1538
552	1900	1535
553	1903	1532
554	1906	1528
555	1909	1524
556	1912	1520
557	1915	1517
558	1918	1513
559	1921	1509
560	1924	1506
561	1927	1502
562	1930	1498
563	1933	1495
564	1937	1491
565	1940	1487
566	1943	1484
567	1946	1480
568	1950	1477
569	1953	1473
570	1956	1469
571	1959	1465
572	1962	1462
573	1965	1458
574	1968	1455
575	1971	1451
576	1975	1448
577	1978	1444
578	1981	1440
579	1984	1437
580	1987	1433
581	1990	1429
582	1994	1426
583	1997	1422
584	2000	1419
585	2003	1415
586	2006	1411
587	2009	1408
588	2012	1404
589	2015	1400
590	2018	1396
591	2021	1393
592	2024	1389
593	2028	1386
594	2031	1382
595	2034	1378
596	2037	1375
597	2040	1371
598	2044	1368
599	2047	1364
600	2050	1361
601	2053	1357
602	2057	1354
603	2060	1350
604	2063	1347
605	2066	1343
606	2069	1339
607	2072	1336
608	2075	1332
609	2078	1329
610	2082	1325
611	2085	1322
612	2088	1318
613	2091	1314
614	2094	1311
615	2097	1307
616	2100	1304
617	2103	1300
618	2106	1296
619	2109	1293
620	2112	1289
621	2116	1285
622	2119	1282
623	2122	1278
624	2125	1275
625	2128	1271
626	2131	1267
627	2134	1264
628	2137	1260
629	2139	1256
630	2143	1253
631	2146	1249
632	2149	1246
633	2152	1242
634	2157	1240
635	2161	1236
636	2164	1233
637	2167	1229
638	2170	1226
639	2173	1222
640	2177	1219
641	2180	1215
642	2183	1212
643	2186	1208
644	2189	1205
645	2192	1201
646	2195	1198
647	2199	1194
648	2202	1191
649	2205	1187
650	2208	1183
651	2211	1180
652	2214	1176
653	2217	1173
654	2220	1169
655	2224	1166
656	2227	1162
657	2230	1159
658	2233	1155
659	2236	1152
660	2239	1148
661	2243	1145
662	2246	1141
663	2249	1138
664	2252	1134
665	2255	1131
666	2258	1127
667	2261	1124
668	2265	1120
669	2268	1117
670	2271	1113
671	2274	1110
672	2278	1106
673	2281	1103
674	2284	1099
675	2288	1096
676	2291	1093
677	2294	1089
678	2297	1086
679	2300	1082
680	2303	1078
681	2306	1075
682	2309	1071
683	2312	1068
684	2315	1064
685	2318	1061
686	2321	1057
687	2324	1054
688	2327	1050
689	2330	1047
690	2333	1043
691	2336	1039
692	2339	1036
693	2342	1032
694	2345	1029
695	2348	1025
696	2352	1022
697	2355	1019
698	2358	1015
699	2362	1012
700	2366	1009
701	2369	1005
702	2373	1002
703	2377	999
704	2380	996
705	2384	992
706	2387	989
707	2390	985
708	2393	982
709	2396	978
710	2399	975
711	2402	971
712	2407	969
713	2410	965
714	2413	962
715	2416	958
716	2420	955
717	2423	951
718	2426	948
719	2429	944
720	2432	941
721	2436	938
722	2439	934
723	2442	931
724	2445	927
725	2448	924
726	2451	920
727	2454	917
728	2458	913
729	2462	910
730	2465	907
731	2468	903
732	2471	900
733	2475	897
734	2478	893
735	2481	890
736	2484	886
737	2487	883
738	2490	879
739	2493	876
740	2496	872
741	2499	869
742	2502	865
743	2506	862
744	2509	858
745	2512	855
746	2515	851
747	2518	848
748	2521	845
749	2524	841
750	2527	838
751	2531	834
752	2535	831
753	2538	828
754	2541	824
755	2544	821
756	2548	817
757	2551	814
758	2554	811
759	2557	807
760	2561	804
761	2564	800
762	2567	797
763	2570	794
764	2573	790
765	2576	787
766	2579	783
767	2582	780
768	2585	776
769	2589	773
770	2592	769
771	2595	766
772	2598	762
773	2601	759
774	2604	756
775	2607	752
776	2610	749
777	2613	745
778	2617	742
779	2620	739
780	2623	735
781	2630	733
782	2633	729
783	2636	726
784	2639	723
785	2643	719
786	2647	716
787	2650	713
788	2654	709
789	2657	706
790	2661	703
791	2664	699
792	2667	696
793	2670	692
794	2674	689
795	2677	686
796	2680	682
797	2683	679
798	2686	675
799	2690	672
800	2693	669
801	2696	665
802	2699	662
803	2702	658
804	2705	655
805	2708	651
806	2711	648
807	2715	645
808	2718	641
809	2721	638
810	2724	634
811	2727	631
812	2730	628
813	2734	624
814	2737	621
815	2740	617
816	2743	614
817	2746	611
818	2749	607
819	2752	604
820	2756	600
821	2759	597
822	2762	594
823	2765	590
824	2768	587
825	2771	583
826	2775	580
827	2778	577
828	2781	573
829	2784	570
830	2787	566
831	2790	563
832	2793	560
833	2796	556
834	2801	553
835	2804	550
836	2807	546
837	2810	543
838	2813	539
839	2816	536
840	2819	533
841	2822	529
842	2825	526
843	2830	523
844	2833	519
845	2836	516
846	2839	512
847	2842	509
848	2845	506
849	2848	502
850	2851	499
851	2854	495
852	2857	492
853	2860	489
854	2863	485
855	2867	482
856	2870	478
857	2873	475
858	2876	472
859	2879	468
860	2882	465
861	2885	461
862	2888	458
863	2890	455
864	2895	451
865	2898	448
866	2901	445
867	2904	441
868	2908	438
869	2911	434
870	2914	431
871	2917	428
872	2920	424
873	2923	421
874	2926	418
875	2931	414
876	2935	411
877	2939	408
878	2942	405
879	2946	401
880	2949	398
881	2952	395
882	2956	391
883	2959	388
884	2962	384
885	2965	381
886	2968	378
887	2971	374
888	2974	371
889	2977	368
890	2981	364
891	2984	361
892	2987	357
893	2990	354
894	2994	351
895	2997	347
896	3000	344
897	3003	341
898	3006	337
899	3009	334
900	3012	330
901	3015	327
902	3018	324
903	3021	320
904	3025	317
905	3028	314
906	3031	310
907	3035	307
908	3038	304
909	3041	300
910	3044	297
911	3047	294
912	3050	290
913	3053	287
914	3057	283
915	3059	280
916	3063	277
917	3066	273
918	3069	270
919	3072	267
920	3075	263
921	3078	260
922	3081	257
923	3084	253
924	3087	250
925	3090	246
926	3093	243
927	3096	240
928	3100	236
929	3103	233
930	3106	230
931	3109	226
932	3112	223
933	3115	220
934	3118	216
935	3121	213
936	3125	210
937	3128	206
938	3131	203
939	3134	200
940	3137	196
941	3140	193
942	3143	190
943	3146	186
944	3149	183
945	3153	179
946	3156	176
947	3161	173
948	3164	170
949	3167	166
950	3170	163
951	3173	160
952	3176	156
953	3179	153
954	3182	149
955	3185	146
956	3188	143
957	3191	139
958	3195	136
959	3198	133
960	3201	129
961	3204	126
962	3207	123
963	3210	119
964	3214	116
965	3217	113
966	3220	109
967	3223	106
968	3226	103
969	3230	99
970	3233	96
971	3236	93
972	3239	89
973	3242	86
974	3245	83
975	3248	79
976	3252	76
977	3255	73
978	3258	69
979	3261	66
980	3264	63
981	3268	59
982	3271	56
983	3274	53
984	3277	49
985	3280	46
986	3283	43
987	3287	39
988	3290	36
989	3293	33
990	3296	29
991	3299	26
992	3302	23
993	3305	19
994	3308	16
995	3311	13
996	3314	9
997	3317	6
998	3320	3
999	3323	0
